compartment_yeast,day,yeast,average_weighted_mtype
Cecum,1,Colletotrichum_M1.001_GCF_000149035.1,-0.00013534533533239083
Cecum,1,Colletotrichum_MAFF305635,-9.302999505336743e-05
Cecum,1,Colletotrichum_MAFF_240422_104,-8.971865748132788e-05
Cecum,1,Colletotrichum_cg_14_gca_000446055.Colletotrichum_gloeosporioides1,-8.859846766394532e-05
Cecum,1,Colletotrichum_gca_000696135.ASM69613v1,-9.598814547075628e-05
Cecum,1,Colletotrichum_gca_001563125.CSAL01,-0.00019306326445642067
Cecum,1,Colletotrichum_gca_001563135.CSIM01,-0.0001470116990311391
Cecum,1,Colletotrichum_gca_001625285.Ci238704v1,-9.164171400025571e-05
Cecum,1,Colletotrichum_gca_001855235.ASM185523v1,0.00013178255925476044
Cecum,1,Colletotrichum_gca_001937105.ASM193710v1,-8.96004255300778e-05
Cecum,1,Cutaneotrichosporon_IBC0246_GCF_001027345.1,-9.022447919686805e-05
Cecum,1,Cyberlindnera_gca_001983305.ASM198330v1,0.00010971045349837173
Cecum,1,Cyberlindnera_nrrl_y_1542_gca_001661405.Cybja1,-9.729236071083084e-05
Cecum,1,Debaryomyces_CBS_789_GCF_001447935.1,-0.00010114686730974709
Cecum,1,Diaporthe_gca_001006365.UCDDA912v1.0,-9.550774946290549e-05
Cecum,1,Eremothecium_DBVPG#7215_GCF_000235365.1,0.00011945264725707494
Cecum,1,Exidia_hhb12029_gca_001632375.Exigl1,-9.98570237451555e-05
Cecum,1,Fusarium_NRRL_13405_GCA_003012295.1,-9.498556769667888e-05
Cecum,1,Fusarium_NRRL_20438_GCA_003947045.1,-8.808350893100493e-05
Cecum,1,Fusarium_NRRL_3299_GCA_003012315.1,0.00011964936127186235
Cecum,1,Fusarium_f._sp._cepae_FoC_A23_GCA_003615075.1,0.00013490364542367465
Cecum,1,Fusarium_f_sp_radicis_lycopersici_26381_gca_000260155.FO_CL57_V1,0.00012585691068036696
Cecum,1,Fusarium_f_sp_vasinfectum_25433_gca_000260175.FO_Cotton_V1,-0.00017608373940989085
Cecum,1,Fusarium_gca_001292635.ASM129263v1,-8.84193566389754e-05
Cecum,1,Hyphopichia_nrrl_y_1933_gca_001661395.Hypbu1,-0.00010192022891700024
Cecum,1,Malassezia_CBS_7877_GCA_003691605.1,9.658334231877522e-05
Cecum,1,Metschnikovia_ICS1,-8.886389532672074e-05
Cecum,1,Mucor_f_circinelloides_1006phl_gca_000401635.Muco_sp_1006Ph_V1,-8.155023932410433e-05
Cecum,1,Penicillium_Wisconsin_54,-9.335648036728427e-05
Cecum,1,Penicillium_fm164_gca_000513255.PROQFM164_20130607,-0.00017292301893070773
Cecum,1,Penicillium_fm_013_gca_000513335.PCAMFM013_20131106,-0.00014515354252179677
Cecum,1,Penicillium_gca_000710275.ASM71027v1,-9.192984756758698e-05
Cecum,1,Penicillium_gca_000769735.ASM76973v1,-0.00016751074511075595
Cecum,1,Penicillium_gca_000769765.ASM76976v1,-8.896896463529526e-05
Cecum,1,Penicillium_gca_002016555.ASM201655v1,0.0001309248561592532
Cecum,1,Penicillium_gca_002072265.ASM207226v1,-0.00019884686048178934
Cecum,1,Penicillium_gca_002072345.ASM207234v1,0.00013246252946462047
Cecum,1,Penicillium_gca_002072375.ASM207237v1,-0.00019305984205392323
Cecum,1,Purpureocillium_gca_001653265.ASM165326v1,0.000224769591871733
Cecum,1,Purpureocillium_gca_003144605.ASM314460v1,0.00013600252203549372
Cecum,1,Rhizopus_CBS_357.93_GCA_003325435.1,-9.615426438097988e-05
Cecum,1,Rhizopus_gca_002083735.Rhimi_ATCC11559_1,-9.313754113688369e-05
Cecum,1,Rhizopus_ra_99_880_gca_000149305.RO3,-9.073154976863265e-05
Cecum,1,Rhodotorula_NBRC10032_GCA_007990605.1,0.00015611208232823128
Cecum,1,Rhodotorula_NP11_GCF_000320785.1,-0.00010777665866870925
Cecum,1,Rhodotorula_UCD,0.00012419905108152572
Cecum,1,Rhodotorula_gca_001255795.IFO0880_HGAP3_v1,-9.178894802716946e-05
Cecum,1,Rhodotorula_gca_002922495.ASM292249v1,-0.0001541118178032753
Cecum,1,Saccharomyces_AWRI1631_GCA_000182175.1,-9.254671454318153e-05
Cecum,1,Saccharomyces_gca_001298625.SEUB3.0,-0.00011288171068320428
Cecum,1,Saccharomyces_gca_001634645.GLBRCY22,-8.350571351540114e-05
Cecum,1,Saccharomyces_vin13_gca_000190215.ScVIN13_v01,-9.983024180419377e-05
Cecum,1,Saccharomyces_vl3_gca_000190235.ScVL3_v01,-9.143721602329846e-05
Cecum,1,Saccharomyces_yjm1078_gca_000975645.Sc_YJM1078_v1,-8.126194583469987e-05
Cecum,1,Saccharomyces_yjm1202_gca_000976785.Sc_YJM1202_v1,-0.0001193668046267901
Cecum,1,Saccharomyces_yjm1208_gca_000976815.Sc_YJM1208_v1,-0.00014989213663210444
Cecum,1,Saccharomyces_yjm1242_gca_000976845.Sc_YJM1242_v1,-0.00016402611325755514
Cecum,1,Saccharomyces_yjm1244_gca_000976875.Sc_YJM1244_v1,-8.226356828142342e-05
Cecum,1,Saccharomyces_yjm1307_gca_000977055.Sc_YJM1307_v1,-0.00015873585174088864
Cecum,1,Saccharomyces_yjm1332_gca_000977145.Sc_YJM1332_v1,-8.338062439207539e-05
Cecum,1,Saccharomyces_yjm1338_gca_000977205.Sc_YJM1338_v1,-8.347991620686591e-05
Cecum,1,Saccharomyces_yjm1355_gca_000977295.Sc_YJM1355_v1,-8.298959887234588e-05
Cecum,1,Saccharomyces_yjm1415_gca_000977685.Sc_YJM1415_v1,-8.201565378715508e-05
Cecum,1,Saccharomyces_yjm1444_gca_000977925.Sc_YJM1444_v1,-8.332588901654328e-05
Cecum,1,Saccharomyces_yjm1450_gca_000977985.Sc_YJM1450_v1,-8.231281398901028e-05
Cecum,1,Saccharomyces_yjm1460_gca_000978015.Sc_YJM1460_v1,-8.178599301990542e-05
Cecum,1,Saccharomyces_yjm1526_gca_000978165.Sc_YJM1526_v1,-8.147952824935317e-05
Cecum,1,Saccharomyces_yjm1527_gca_000978195.Sc_YJM1527_v1,-9.126171712793099e-05
Cecum,1,Saccharomyces_yjm1592_gca_000978315.Sc_YJM1592_v1,-8.196064831329809e-05
Cecum,1,Saccharomyces_yjm1615_gca_000978345.Sc_YJM1615_v1,-0.00010226262307488435
Cecum,1,Saccharomyces_yjm193_gca_000975765.Sc_YJM193_v1,-8.156497111109137e-05
Cecum,1,Saccharomyces_yjm451_gca_000976005.Sc_YJM451_v1,-0.00010211320006095092
Cecum,1,Saccharomyces_yjm555_gca_000976185.Sc_YJM555_v1,-8.466852922677118e-05
Cecum,1,Saccharomyces_yjm969_gca_000976395.Sc_YJM969_v1,-0.00012961438539177278
Cecum,1,Saccharomyces_yjm972_gca_000976425.Sc_YJM972_v1,6.011905133448902e-05
Cecum,1,Talaromyces_ATCC_10500_GCF_000003125.1,-9.104164472656072e-05
Cecum,1,Talaromyces_pm1_gca_000750115.ASM75011v1,0.00014186104062163888
Cecum,1,Trichoderma_cbs_433_97_gca_003025105.Trias_v._1.0,-0.00010096349303409273
Cecum,1,Trichoderma_gca_002022785.ASM202278v1,-9.022790289837662e-05
Cecum,1,Trichoderma_gca_003025115.Trici_v4.0,-8.169633857255156e-05
Cecum,1,Wickerhamomyces_NRRL_Y,-0.00010461559268841995
Cecum,7,Alternaria_FERA_1082_GCA_004154745.1,-8.502684484203422e-05
Cecum,7,Alternaria_FERA_1164_GCA_004156015.1,0.00099046815366798
Cecum,7,Alternaria_FERA_1177_GCA_004154755.1,-0.0001643497633217291
Cecum,7,Alternaria_FERA_24350_GCA_004154735.1,0.0006157593128248769
Cecum,7,Alternaria_FERA_635_GCA_004168565.1,0.0008202064776792252
Cecum,7,Alternaria_MG1_GCA_003574525.1,-0.00014330198507103966
Cecum,7,Aspergillus_100_8_gca_000691885.Aspergillus_oryzae_100,0.0006958529086485467
Cecum,7,Aspergillus_3_042_gca_000269785.AspOry3042,-0.00012863502749845495
Cecum,7,Aspergillus_ATCC_13496_GCA_003344705.1,-4.400774744402853e-06
Cecum,7,Aspergillus_ATCC_16872_GCF_001890905.1,0.00025302928636621513
Cecum,7,Aspergillus_CA14_GCA_003709025.1,0.0007354831913954011
Cecum,7,Aspergillus_CBS_101883_GCF_003184595.1,0.0006425630137514339
Cecum,7,Aspergillus_CBS_101889_GCA_003184865.1,0.0012850345574840717
Cecum,7,Aspergillus_CBS_114.51_GCF_003184785.1,0.0006654110907848807
Cecum,7,Aspergillus_CBS_117626_GCA_009193485.1,0.00042509905900211316
Cecum,7,Aspergillus_CBS_121591_GCF_003184745.1,7.387779798950095e-05
Cecum,7,Aspergillus_CBS_130017_GCA_009193525.1,0.0004976741820185569
Cecum,7,Aspergillus_CBS_139.54b_GCF_003344945.1,-0.00010533303042163604
Cecum,7,Aspergillus_CBS_313.89_GCA_003184825.1,-8.739260639412985e-05
Cecum,7,Aspergillus_CBS_553.77_GCA_009193565.1,-0.00016011903404203616
Cecum,7,Aspergillus_CBS_763.97_GCA_009193585.1,0.0005992452406646378
Cecum,7,Aspergillus_HMR_AF_1038_GCA_002234975.2,0.0002880930817000816
Cecum,7,Aspergillus_HMR_AF_23_GCA_002234965.2,-2.4170904179122024e-05
Cecum,7,Aspergillus_IBT_18842_GCA_009193465.1,0.001961203645074657
Cecum,7,Aspergillus_IBT_28561_GCF_002847485.1,0.0007897149916167971
Cecum,7,Aspergillus_IBT_29228_GCA_009193595.1,-0.00015051712383388883
Cecum,7,Aspergillus_IFM_58123_GCA_003850985.1,0.001000213672577143
Cecum,7,Aspergillus_NIH2624_GCF_000149615.1,0.0001274313191500462
Cecum,7,Aspergillus_NRRL3357_GCF_000006275.2,0.0002580999000451278
Cecum,7,Aspergillus_RIB40_GCF_000184455.2,0.0007805211732542801
Cecum,7,Aspergillus_af70_gca_000952835.ASM95283v1,0.0002458455155533822
Cecum,7,Aspergillus_atcc_1015_gca_000230395.ASPNI_v3.0,8.91148955630602e-05
Cecum,7,Aspergillus_cbs_101740_gca_001889945.Aspbr1,0.0007498309044603939
Cecum,7,Aspergillus_cbs_113365_gca_003184925.Aspvad1,6.173262117113705e-05
Cecum,7,Aspergillus_cbs_115572_gca_003184525.Aspscl1,0.0006333915033829089
Cecum,7,Aspergillus_cbs_134_48_gca_001890745.Asptu1,-0.00017565396827133462
Cecum,7,Aspergillus_cbs_583_65_gca_001890125.Aspve1,0.00010182921670055553
Cecum,7,Aspergillus_dto_134e9_gca_001890725.Aspwe1,0.00035751862504992217
Cecum,7,Aspergillus_gca_001515345.ASM151534v1,0.00036164818083664384
Cecum,7,Aspergillus_gca_001717485.ASM171748v1,0.0006508241180366518
Cecum,7,Aspergillus_gca_002234965.ASM223496v1,0.0007450520325682749
Cecum,7,Aspergillus_ibt_23096_gca_002849105.Aspste1,0.000819515821332077
Cecum,7,Aspergillus_z5_gca_001029325.ASM102932v1,0.000706425759319071
Cecum,7,Aureobasidium_EXF,-0.0001271860869895284
Cecum,7,Aureobasidium_cbs_110374_gca_000721775.Aureobasidium_pullulans_var._melanogenum_CBS_110374_v1.0,0.0006186177713176222
Cecum,7,Candida_ATCC_20962_GCA_003327735.1,0.0006637879249682588
Cecum,7,Candida_p60002_gca_000784525.Cand_albi_P60002_V1,0.0007292620687563921
Cecum,7,Cercospora_gca_002933655.Cbert_1,0.0008073633068047068
Cecum,7,Clavispora_P2_GCA_009498075.1,0.0016446957832078452
Cecum,7,Clavispora_P4_GCA_009498135.1,0.0005877715518250561
Cecum,7,Clavispora_P5_GCA_009498115.1,0.001280149605538297
Cecum,7,Colletotrichum_CBS_518.97_GCA_004367935.1,0.0008070525190184622
Cecum,7,Colletotrichum_M1.001_GCF_000149035.1,0.00010199779410036436
Cecum,7,Colletotrichum_MAFF305635,0.0007708663643039547
Cecum,7,Colletotrichum_MAFF_240422_104,-2.1385533003170902e-05
Cecum,7,Colletotrichum_cg_14_gca_000446055.Colletotrichum_gloeosporioides1,0.0006234406451936569
Cecum,7,Colletotrichum_gca_000696135.ASM69613v1,0.0006262772111229186
Cecum,7,Colletotrichum_gca_001563125.CSAL01,0.0002613948254145689
Cecum,7,Colletotrichum_gca_001563135.CSIM01,0.00022723492291657957
Cecum,7,Colletotrichum_gca_001625285.Ci238704v1,0.00025251717725747547
Cecum,7,Colletotrichum_gca_001855235.ASM185523v1,0.000659495731926079
Cecum,7,Colletotrichum_gca_001937105.ASM193710v1,0.0002118865933757202
Cecum,7,Cutaneotrichosporon_IBC0246_GCF_001027345.1,-0.00020173820487219985
Cecum,7,Cyberlindnera_gca_001983305.ASM198330v1,0.0007059748398196505
Cecum,7,Cyberlindnera_nrrl_y_1542_gca_001661405.Cybja1,0.0007874512140961217
Cecum,7,Debaryomyces_CBS_789_GCF_001447935.1,0.0007896339096014535
Cecum,7,Diaporthe_gca_001006365.UCDDA912v1.0,0.0008110904008111928
Cecum,7,Eremothecium_DBVPG#7215_GCF_000235365.1,0.0007640710460400092
Cecum,7,Exidia_hhb12029_gca_001632375.Exigl1,0.0006270152045943453
Cecum,7,Fusarium_NRRL_13405_GCA_003012295.1,0.000814048905520051
Cecum,7,Fusarium_NRRL_20438_GCA_003947045.1,0.0007482188761741778
Cecum,7,Fusarium_NRRL_3299_GCA_003012315.1,0.0007870063574579707
Cecum,7,Fusarium_f._sp._cepae_FoC_A23_GCA_003615075.1,0.0008284276954974591
Cecum,7,Fusarium_f_sp_radicis_lycopersici_26381_gca_000260155.FO_CL57_V1,-0.0002017483445718162
Cecum,7,Fusarium_f_sp_vasinfectum_25433_gca_000260175.FO_Cotton_V1,0.00016094377003004053
Cecum,7,Fusarium_gca_001292635.ASM129263v1,0.0008383058410615568
Cecum,7,Hyphopichia_nrrl_y_1933_gca_001661395.Hypbu1,0.0007874922455478716
Cecum,7,Malassezia_CBS_7877_GCA_003691605.1,0.0008208138368201936
Cecum,7,Metschnikovia_ICS1,-0.00012077233422358303
Cecum,7,Mucor_f_circinelloides_1006phl_gca_000401635.Muco_sp_1006Ph_V1,-0.00015006882394389174
Cecum,7,Penicillium_Wisconsin_54,0.0006833335453039967
Cecum,7,Penicillium_fm164_gca_000513255.PROQFM164_20130607,0.000617637786252305
Cecum,7,Penicillium_fm_013_gca_000513335.PCAMFM013_20131106,0.00016280021814449878
Cecum,7,Penicillium_gca_000710275.ASM71027v1,0.0006399844444951232
Cecum,7,Penicillium_gca_000769735.ASM76973v1,-0.00021561252632647539
Cecum,7,Penicillium_gca_000769765.ASM76976v1,0.0007971101255265931
Cecum,7,Penicillium_gca_002016555.ASM201655v1,0.0008011336352476731
Cecum,7,Penicillium_gca_002072345.ASM207234v1,0.0008302878708408166
Cecum,7,Penicillium_gca_002072375.ASM207237v1,0.00031881561763489637
Cecum,7,Purpureocillium_gca_001653265.ASM165326v1,0.0006804389271172801
Cecum,7,Purpureocillium_gca_003144605.ASM314460v1,0.0008515894893704352
Cecum,7,Rhizopus_CBS_357.93_GCA_003325435.1,0.0008217033266749982
Cecum,7,Rhizopus_gca_002083735.Rhimi_ATCC11559_1,0.000650262993977944
Cecum,7,Rhizopus_ra_99_880_gca_000149305.RO3,0.0006751575048942547
Cecum,7,Rhodotorula_NBRC10032_GCA_007990605.1,-0.00017094072452433797
Cecum,7,Rhodotorula_NP11_GCF_000320785.1,0.0006214309429523549
Cecum,7,Rhodotorula_UCD,0.0006606265795948631
Cecum,7,Rhodotorula_gca_001255795.IFO0880_HGAP3_v1,0.000840744701701749
Cecum,7,Rhodotorula_gca_002922495.ASM292249v1,-0.0001241305388908384
Cecum,7,Saccharomyces_AWRI1631_GCA_000182175.1,-1.6712324696941485e-05
Cecum,7,Saccharomyces_gca_001298625.SEUB3.0,-0.00013904301469684478
Cecum,7,Saccharomyces_gca_001634645.GLBRCY22,0.0007448182861534722
Cecum,7,Saccharomyces_vin13_gca_000190215.ScVIN13_v01,0.0007883865614619606
Cecum,7,Saccharomyces_vl3_gca_000190235.ScVL3_v01,7.845945375867853e-05
Cecum,7,Saccharomyces_yjm1078_gca_000975645.Sc_YJM1078_v1,0.0007284463214300548
Cecum,7,Saccharomyces_yjm1202_gca_000976785.Sc_YJM1202_v1,2.8046933629678663e-05
Cecum,7,Saccharomyces_yjm1208_gca_000976815.Sc_YJM1208_v1,0.000739328665506317
Cecum,7,Saccharomyces_yjm1242_gca_000976845.Sc_YJM1242_v1,0.0006519167221276371
Cecum,7,Saccharomyces_yjm1244_gca_000976875.Sc_YJM1244_v1,-0.00012124230895722652
Cecum,7,Saccharomyces_yjm1307_gca_000977055.Sc_YJM1307_v1,-0.0001613554192247049
Cecum,7,Saccharomyces_yjm1332_gca_000977145.Sc_YJM1332_v1,0.000678273440505498
Cecum,7,Saccharomyces_yjm1338_gca_000977205.Sc_YJM1338_v1,0.0007613264446759757
Cecum,7,Saccharomyces_yjm1355_gca_000977295.Sc_YJM1355_v1,0.0007576379210217732
Cecum,7,Saccharomyces_yjm1415_gca_000977685.Sc_YJM1415_v1,0.0006312955883979741
Cecum,7,Saccharomyces_yjm1444_gca_000977925.Sc_YJM1444_v1,0.0006726214895636639
Cecum,7,Saccharomyces_yjm1450_gca_000977985.Sc_YJM1450_v1,0.00024217833147674263
Cecum,7,Saccharomyces_yjm1460_gca_000978015.Sc_YJM1460_v1,0.0006209104150074189
Cecum,7,Saccharomyces_yjm1526_gca_000978165.Sc_YJM1526_v1,-0.0002008672174563993
Cecum,7,Saccharomyces_yjm1527_gca_000978195.Sc_YJM1527_v1,-0.00015386297157213156
Cecum,7,Saccharomyces_yjm1592_gca_000978315.Sc_YJM1592_v1,0.0007195598910905503
Cecum,7,Saccharomyces_yjm1615_gca_000978345.Sc_YJM1615_v1,0.000871286063555577
Cecum,7,Saccharomyces_yjm193_gca_000975765.Sc_YJM193_v1,0.0006999406923702229
Cecum,7,Saccharomyces_yjm451_gca_000976005.Sc_YJM451_v1,0.0006318378302961761
Cecum,7,Saccharomyces_yjm555_gca_000976185.Sc_YJM555_v1,0.0014639887647763497
Cecum,7,Saccharomyces_yjm969_gca_000976395.Sc_YJM969_v1,0.0006366523935754899
Cecum,7,Saccharomyces_yjm972_gca_000976425.Sc_YJM972_v1,0.00027417072610045083
Cecum,7,Talaromyces_ATCC_10500_GCF_000003125.1,0.0001223554636016801
Cecum,7,Talaromyces_pm1_gca_000750115.ASM75011v1,0.0005966068117105322
Cecum,7,Trichoderma_cbs_433_97_gca_003025105.Trias_v._1.0,0.0007869020438922685
Cecum,7,Trichoderma_gca_002022785.ASM202278v1,0.0007611202717391368
Cecum,7,Trichoderma_gca_003025115.Trici_v4.0,0.0006466182961627733
Cecum,7,Wickerhamomyces_NRRL_Y,5.608487944455589e-05
Cecum,21,Alternaria_FERA_1082_GCA_004154745.1,0.00023148564329189596
Cecum,21,Alternaria_FERA_1164_GCA_004156015.1,0.00024675977800234987
Cecum,21,Alternaria_FERA_1177_GCA_004154755.1,0.00027200483109593893
Cecum,21,Alternaria_FERA_24350_GCA_004154735.1,0.00024375774551605882
Cecum,21,Alternaria_FERA_635_GCA_004168565.1,0.00023173206350711673
Cecum,21,Alternaria_MG1_GCA_003574525.1,0.0002378311889744259
Cecum,21,Aspergillus_100_8_gca_000691885.Aspergillus_oryzae_100,0.00024714122113722765
Cecum,21,Aspergillus_3_042_gca_000269785.AspOry3042,4.561123689211066e-05
Cecum,21,Aspergillus_ATCC_13496_GCA_003344705.1,0.00014166119209089594
Cecum,21,Aspergillus_ATCC_16872_GCF_001890905.1,0.00019195349733208475
Cecum,21,Aspergillus_CA14_GCA_003709025.1,0.00019479723959113865
Cecum,21,Aspergillus_CBS_101883_GCF_003184595.1,0.00022200841783087083
Cecum,21,Aspergillus_CBS_101889_GCA_003184865.1,0.00022311274306250996
Cecum,21,Aspergillus_CBS_114.51_GCF_003184785.1,0.00024445494006099255
Cecum,21,Aspergillus_CBS_117626_GCA_009193485.1,0.0001918875929896818
Cecum,21,Aspergillus_CBS_121591_GCF_003184745.1,0.0002551461156047037
Cecum,21,Aspergillus_CBS_130017_GCA_009193525.1,0.00023025617326008269
Cecum,21,Aspergillus_CBS_139.54b_GCF_003344945.1,0.00023050087715891033
Cecum,21,Aspergillus_CBS_313.89_GCA_003184825.1,0.00022484705549961543
Cecum,21,Aspergillus_CBS_553.77_GCA_009193565.1,0.0002997133709523522
Cecum,21,Aspergillus_CBS_763.97_GCA_009193585.1,0.00021903146548810443
Cecum,21,Aspergillus_HMR_AF_1038_GCA_002234975.2,0.00013005049527616062
Cecum,21,Aspergillus_HMR_AF_23_GCA_002234965.2,0.0002458747632589716
Cecum,21,Aspergillus_IBT_18842_GCA_009193465.1,0.00019230561280071803
Cecum,21,Aspergillus_IBT_28561_GCF_002847485.1,0.0002341554570023032
Cecum,21,Aspergillus_IBT_29228_GCA_009193595.1,0.00022949228403238862
Cecum,21,Aspergillus_IFM_58123_GCA_003850985.1,0.0002409587814204569
Cecum,21,Aspergillus_NIH2624_GCF_000149615.1,-0.0001083840387948636
Cecum,21,Aspergillus_NRRL3357_GCF_000006275.2,0.00019657547522009995
Cecum,21,Aspergillus_RIB40_GCF_000184455.2,6.678011541446121e-05
Cecum,21,Aspergillus_af70_gca_000952835.ASM95283v1,0.00017198085713210085
Cecum,21,Aspergillus_atcc_1015_gca_000230395.ASPNI_v3.0,5.582961717067742e-05
Cecum,21,Aspergillus_cbs_101740_gca_001889945.Aspbr1,0.0002559546467689382
Cecum,21,Aspergillus_cbs_113365_gca_003184925.Aspvad1,0.00014292145034284834
Cecum,21,Aspergillus_cbs_115572_gca_003184525.Aspscl1,-1.3433440369451897e-05
Cecum,21,Aspergillus_cbs_134_48_gca_001890745.Asptu1,0.0001738895226238906
Cecum,21,Aspergillus_cbs_583_65_gca_001890125.Aspve1,0.00011133361307455872
Cecum,21,Aspergillus_dto_134e9_gca_001890725.Aspwe1,0.00025068230175108447
Cecum,21,Aspergillus_gca_001515345.ASM151534v1,7.642824163783792e-05
Cecum,21,Aspergillus_gca_001717485.ASM171748v1,0.0002393803117436502
Cecum,21,Aspergillus_gca_002234965.ASM223496v1,0.0002028799396014207
Cecum,21,Aspergillus_ibt_23096_gca_002849105.Aspste1,0.00024805992631441825
Cecum,21,Aspergillus_z5_gca_001029325.ASM102932v1,2.501525588895449e-06
Cecum,21,Aureobasidium_EXF,8.524990793526377e-05
Cecum,21,Aureobasidium_cbs_110374_gca_000721775.Aureobasidium_pullulans_var._melanogenum_CBS_110374_v1.0,0.00018621488899076021
Cecum,21,Candida_ATCC_20962_GCA_003327735.1,0.00018027470629083115
Cecum,21,Candida_p60002_gca_000784525.Cand_albi_P60002_V1,0.00021426646622532176
Cecum,21,Cercospora_gca_002933655.Cbert_1,0.0002575146535533489
Cecum,21,Clavispora_P2_GCA_009498075.1,0.000277477876960543
Cecum,21,Clavispora_P4_GCA_009498135.1,0.00013817864429608545
Cecum,21,Clavispora_P5_GCA_009498115.1,0.00023326241830071717
Cecum,21,Colletotrichum_CBS_518.97_GCA_004367935.1,0.0002527613914731885
Cecum,21,Colletotrichum_M1.001_GCF_000149035.1,0.00021958067677655874
Cecum,21,Colletotrichum_MAFF305635,0.00022351795374026584
Cecum,21,Colletotrichum_MAFF_240422_104,0.00019534896807488227
