compartment_yeast,day,yeast,average_weighted_mtype,organism,ncbiid,kingdom,phylum,class,order,family,genus,file
Caecum,1,Aspergillus_IBT_29228_GCA_009193595.1,-0.0000933,Aspergillus bertholletiae,1226010,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_bertholletiae_IBT_29228_GCA_009193595.1.json
Caecum,1,Aspergillus_IFM_58123_GCA_003850985.1,-0.000100829,Aspergillus awamori,105351,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_awamori_IFM_58123_GCA_003850985.1.json
Caecum,1,Aspergillus_NIH2624_GCF_000149615.1,-0.000173086,Aspergillus terreus,33178,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_terreus_NIH2624_GCF_000149615.1.json
Caecum,1,Aspergillus_NRRL3357_GCF_000006275.2,-0.000203969,Aspergillus flavus,5059,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_flavus_NRRL3357_GCF_000006275.2.json
Caecum,1,Aspergillus_RIB40_GCF_000184455.2,-0.0000447,Aspergillus oryzae,5062,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_oryzae_RIB40_GCF_000184455.2.json
Caecum,1,Aspergillus_af70_gca_000952835.ASM95283v1,-0.000206531,Aspergillus flavus,5059,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_flavus_af70_gca_000952835.ASM95283v1.json
Caecum,1,Aspergillus_atcc_1015_gca_000230395.ASPNI_v3.0,0.0001337,Aspergillus niger,5061,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_niger_atcc_1015_gca_000230395.ASPNI_v3.0.json
Caecum,1,Aspergillus_cbs_101740_gca_001889945.Aspbr1,0.000130207,Aspergillus brasiliensis,319629,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_brasiliensis_cbs_101740_gca_001889945.Aspbr1.json
Caecum,1,Aspergillus_cbs_113365_gca_003184925.Aspvad1,-0.0000955,Aspergillus vadensis,288669,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_vadensis_cbs_113365_gca_003184925.Aspvad1.json
Caecum,1,Aspergillus_cbs_115572_gca_003184525.Aspscl1,-0.000104269,Aspergillus sclerotioniger,319627,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_sclerotioniger_cbs_115572_gca_003184525.Aspscl1.json
Caecum,1,Aspergillus_cbs_134_48_gca_001890745.Asptu1,-0.000103641,Aspergillus tubingensis,5068,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_tubingensis_cbs_134_48_gca_001890745.Asptu1.json
Caecum,1,Aspergillus_cbs_583_65_gca_001890125.Aspve1,0.00010573,Aspergillus versicolor,46472,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_versicolor_cbs_583_65_gca_001890125.Aspve1.json
Caecum,1,Aspergillus_dto_134e9_gca_001890725.Aspwe1,-0.0000957,Aspergillus wentii,5066,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_wentii_dto_134e9_gca_001890725.Aspwe1.json
Caecum,1,Aspergillus_gca_001515345.ASM151534v1,-0.000109762,Aspergillus niger,5061,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_niger_gca_001515345.ASM151534v1.json
Caecum,1,Aspergillus_gca_001717485.ASM171748v1,-0.000151049,Aspergillus cristatus,573508,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_cristatus_gca_001717485.ASM171748v1.json
Caecum,1,Aspergillus_gca_002234965.ASM223496v1,0.000124168,Aspergillus turcosus,1245748,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_turcosus_gca_002234965.ASM223496v1.json
Caecum,1,Aspergillus_ibt_23096_gca_002849105.Aspste1,-0.000178544,Aspergillus steynii,306088,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_steynii_ibt_23096_gca_002849105.Aspste1.json
Caecum,1,Aspergillus_z5_gca_001029325.ASM102932v1,-0.0000993,Aspergillus fumigatus,746128,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_fumigatus_z5_gca_001029325.ASM102932v1.json
Caecum,1,Aureobasidium_EXF,-0.0000897,Wallemia hederae,1540922,Fungi,Basidiomycota,Wallemiomycetes,Wallemiales,Wallemiaceae,Wallemia,Wallemia_hederae_EXF.json
Caecum,1,Aureobasidium_EXF,-0.0000897,Wallemia ichthyophaga,245174,Fungi,Basidiomycota,Wallemiomycetes,Wallemiales,Wallemiaceae,Wallemia,Wallemia_ichthyophaga_EXF.json
Caecum,1,Aureobasidium_EXF,-0.0000897,Aureobasidium subglaciale,1042127,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium_subglaciale_EXF.json
Caecum,1,Aureobasidium_cbs_110374_gca_000721775.Aureobasidium_pullulans_var._melanogenum_CBS_110374_v1.0,-0.0000946,Aureobasidium melanogenum,46634,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium_melanogenum_cbs_110374_gca_000721775.Aureobasidium_pullulans_var._melanogenum_CBS_110374_v1.0.json
Caecum,1,Candida_ATCC_20962_GCA_003327735.1,-0.000133372,Candida viswanathii,5486,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida_viswanathii_ATCC_20962_GCA_003327735.1.json
Caecum,1,Candida_p60002_gca_000784525.Cand_albi_P60002_V1,0.000081,Candida albicans,5476,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida_albicans_p60002_gca_000784525.Cand_albi_P60002_V1.json
Caecum,1,Cercospora_gca_002933655.Cbert_1,-0.000087,Cercospora berteroae,357750,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Cercospora_berteroae_gca_002933655.Cbert_1.json
Caecum,1,Clavispora_P2_GCA_009498075.1,0.000128724,Clavispora lusitaniae,36911,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Clavispora,Clavispora_lusitaniae_P2_GCA_009498075.1.json
Caecum,1,Clavispora_P4_GCA_009498135.1,-0.00010468,Clavispora lusitaniae,36911,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Clavispora,Clavispora_lusitaniae_P4_GCA_009498135.1.json
Caecum,1,Clavispora_P5_GCA_009498115.1,-0.0000878,Clavispora lusitaniae,36911,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Clavispora,Clavispora_lusitaniae_P5_GCA_009498115.1.json
Caecum,1,Colletotrichum_CBS_518.97_GCA_004367935.1,-0.000113474,Colletotrichum sidae,1347389,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum_sidae_CBS_518.97_GCA_004367935.1.json
Caecum,1,Colletotrichum_M1.001_GCF_000149035.1,-0.000135345,Colletotrichum graminicola,31870,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum_graminicola_M1.001_GCF_000149035.1.json
Caecum,1,Colletotrichum_MAFF305635,-0.000093,Colletotrichum higginsianum,80884,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum_higginsianum_MAFF305635.json
Caecum,1,Colletotrichum_MAFF_240422_104,-0.0000897,Colletotrichum orbiculare,5465,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum_orbiculare_MAFF_240422_104.json
Caecum,1,Colletotrichum_cg_14_gca_000446055.Colletotrichum_gloeosporioides1,-0.0000886,Colletotrichum gloeosporioides,474922,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum_gloeosporioides_cg_14_gca_000446055.Colletotrichum_gloeosporioides1.json
Caecum,1,Colletotrichum_gca_000696135.ASM69613v1,-0.000096,Colletotrichum sublineola,1173701,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum_sublineola_gca_000696135.ASM69613v1.json
Caecum,1,Colletotrichum_gca_001563125.CSAL01,-0.000193063,Colletotrichum salicis,1209931,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum_salicis_gca_001563125.CSAL01.json
Caecum,1,Colletotrichum_gca_001563135.CSIM01,-0.000147012,Colletotrichum simmondsii,703756,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum_simmondsii_gca_001563135.CSIM01.json
Caecum,1,Colletotrichum_gca_001625285.Ci238704v1,-0.0000916,Colletotrichum incanum,1573173,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum_incanum_gca_001625285.Ci238704v1.json
Caecum,1,Colletotrichum_gca_001855235.ASM185523v1,0.000131783,Colletotrichum incanum,1573173,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum_incanum_gca_001855235.ASM185523v1.json
Caecum,1,Colletotrichum_gca_001937105.ASM193710v1,-0.0000896,Colletotrichum chlorophyti,708187,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum_chlorophyti_gca_001937105.ASM193710v1.json
Caecum,1,Cutaneotrichosporon_IBC0246_GCF_001027345.1,-0.0000902,Cutaneotrichosporon oleaginosum,879819,Fungi,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Cutaneotrichosporon,Cutaneotrichosporon_oleaginosum_IBC0246_GCF_001027345.1.json
Caecum,1,Cyberlindnera_gca_001983305.ASM198330v1,0.00010971,Cyberlindnera fabianii,36022,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Cyberlindnera,Cyberlindnera_fabianii_gca_001983305.ASM198330v1.json
Caecum,1,Cyberlindnera_nrrl_y_1542_gca_001661405.Cybja1,-0.0000973,Cyberlindnera jadinii,4903,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Cyberlindnera,Cyberlindnera_jadinii_nrrl_y_1542_gca_001661405.Cybja1.json
Caecum,1,Debaryomyces_CBS_789_GCF_001447935.1,-0.000101147,Debaryomyces fabryi,58627,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_fabryi_CBS_789_GCF_001447935.1.json
Caecum,1,Diaporthe_gca_001006365.UCDDA912v1.0,-0.0000955,Diaporthe ampelina,1214573,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,Diaporthe_ampelina_gca_001006365.UCDDA912v1.0.json
Caecum,1,Eremothecium_DBVPG#7215_GCF_000235365.1,0.000119453,Eremothecium cymbalariae,45285,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Eremothecium,Eremothecium_cymbalariae_DBVPG#7215_GCF_000235365.1.json
Caecum,1,Exidia_hhb12029_gca_001632375.Exigl1,-0.0000999,Exidia glandulosa,5219,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Exidiaceae,Exidia,Exidia_glandulosa_hhb12029_gca_001632375.Exigl1.json
Caecum,1,Fusarium_NRRL_13405_GCA_003012295.1,-0.000095,Fusarium flagelliforme,2675880,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_flagelliforme_NRRL_13405_GCA_003012295.1.json
Caecum,1,Fusarium_NRRL_20438_GCA_003947045.1,-0.0000881,Fusarium ambrosium,131363,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_ambrosium_NRRL_20438_GCA_003947045.1.json
Caecum,1,Fusarium_NRRL_3299_GCA_003012315.1,0.000119649,Fusarium sporotrichioides,5514,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_sporotrichioides_NRRL_3299_GCA_003012315.1.json
Caecum,1,Fusarium_f._sp._cepae_FoC_A23_GCA_003615075.1,0.000134904,Fusarium oxysporum,5507,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_oxysporum_f._sp._cepae_FoC_A23_GCA_003615075.1.json
Caecum,1,Fusarium_f_sp_radicis_lycopersici_26381_gca_000260155.FO_CL57_V1,0.000125857,Fusarium oxysporum,5507,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_oxysporum_f_sp_radicis_lycopersici_26381_gca_000260155.FO_CL57_V1.json
Caecum,1,Fusarium_f_sp_vasinfectum_25433_gca_000260175.FO_Cotton_V1,-0.000176084,Fusarium oxysporum,5507,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_oxysporum_f_sp_vasinfectum_25433_gca_000260175.FO_Cotton_V1.json
Caecum,1,Fusarium_gca_001292635.ASM129263v1,-0.0000884,Fusarium langsethiae,179993,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_langsethiae_gca_001292635.ASM129263v1.json
Caecum,1,Hyphopichia_nrrl_y_1933_gca_001661395.Hypbu1,-0.00010192,Hyphopichia burtonii,717740,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Hyphopichia,Hyphopichia_burtonii_nrrl_y_1933_gca_001661395.Hypbu1.json
Caecum,1,Malassezia_CBS_7877_GCA_003691605.1,0.0000966,Malassezia restricta,76775,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia_restricta_CBS_7877_GCA_003691605.1.json
Caecum,1,Metschnikovia_ICS1,-0.0000889,Metschnikowia pulcherrima,,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Metschnikowia,Metschnikovia.json
Caecum,1,Mucor_f_circinelloides_1006phl_gca_000401635.Muco_sp_1006Ph_V1,-0.0000816,Mucor circinelloides,36080,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,Mucor_circinelloides_f_circinelloides_1006phl_gca_000401635.Muco_sp_1006Ph_V1.json
Caecum,1,Penicillium_Wisconsin_54,-0.0000934,Penicillium rubens,1108849,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_rubens_Wisconsin_54.json
Caecum,1,Penicillium_fm164_gca_000513255.PROQFM164_20130607,-0.000172923,Penicillium roqueforti,5082,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_roqueforti_fm164_gca_000513255.PROQFM164_20130607.json
Caecum,1,Penicillium_fm_013_gca_000513335.PCAMFM013_20131106,-0.000145154,Penicillium camemberti,5075,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_camemberti_fm_013_gca_000513335.PCAMFM013_20131106.json
Caecum,1,Penicillium_gca_000710275.ASM71027v1,-0.0000919,Penicillium chrysogenum,5076,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_chrysogenum_gca_000710275.ASM71027v1.json
Caecum,1,Penicillium_gca_000769735.ASM76973v1,-0.000167511,Penicillium expansum,27334,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_expansum_gca_000769735.ASM76973v1.json
Caecum,1,Penicillium_gca_000769765.ASM76976v1,-0.000089,Penicillium italicum,40296,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_italicum_gca_000769765.ASM76976v1.json
Caecum,1,Penicillium_gca_002016555.ASM201655v1,0.000130925,Penicillium brasilianum,104259,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_brasilianum_gca_002016555.ASM201655v1.json
Caecum,1,Penicillium_gca_002072265.ASM207226v1,-0.000198847,Penicillium polonicum,60169,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_polonicum_gca_002072265.ASM207226v1.json
Caecum,1,Penicillium_gca_002072345.ASM207234v1,0.000132463,Penicillium antarcticum,416450,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_antarcticum_gca_002072345.ASM207234v1.json
Caecum,1,Penicillium_gca_002072375.ASM207237v1,-0.00019306,Penicillium steckii,303698,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_steckii_gca_002072375.ASM207237v1.json
Caecum,1,Purpureocillium_gca_001653265.ASM165326v1,0.00022477,Purpureocillium lilacinum,33203,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Purpureocillium,Purpureocillium_lilacinum_gca_001653265.ASM165326v1.json
Caecum,1,Purpureocillium_gca_003144605.ASM314460v1,0.000136003,Purpureocillium lilacinum,33203,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Purpureocillium,Purpureocillium_lilacinum_gca_003144605.ASM314460v1.json
Caecum,1,Rhizopus_CBS_357.93_GCA_003325435.1,-0.0000962,Rhizopus azygosporus,86630,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Rhizopodaceae,Rhizopus,Rhizopus_azygosporus_CBS_357.93_GCA_003325435.1.json
Caecum,1,Rhizopus_gca_002083735.Rhimi_ATCC11559_1,-0.0000931,Rhizopus microsporus,58291,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Rhizopodaceae,Rhizopus,Rhizopus_microsporus_gca_002083735.Rhimi_ATCC11559_1.json
Caecum,1,Rhizopus_ra_99_880_gca_000149305.RO3,-0.0000907,Rhizopus delemar,936053,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Rhizopodaceae,Rhizopus,Rhizopus_delemar_ra_99_880_gca_000149305.RO3.json
Caecum,1,Rhodotorula_NBRC10032_GCA_007990605.1,0.000156112,Rhodotorula toruloides,5286,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula_toruloides_NBRC10032_GCA_007990605.1.json
Caecum,1,Rhodotorula_NP11_GCF_000320785.1,-0.000107777,Rhodotorula toruloides,5286,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula_toruloides_NP11_GCF_000320785.1.json
Caecum,1,Rhodotorula_UCD,0.000124199,Rhodotorula diobovata,5288,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula_diobovata_UCD.json
Caecum,1,Rhodotorula_gca_001255795.IFO0880_HGAP3_v1,-0.0000918,Rhodotorula toruloides,5286,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula_toruloides_gca_001255795.IFO0880_HGAP3_v1.json
Caecum,1,Rhodotorula_gca_002922495.ASM292249v1,-0.000154112,Rhodotorula taiwanensis,741276,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula_taiwanensis_gca_002922495.ASM292249v1.json
Caecum,1,Saccharomyces_AWRI1631_GCA_000182175.1,-0.0000925,Saccharomyces cerevisiae,4932,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces_cerevisiae_AWRI1631_GCA_000182175.1.json
Caecum,1,Saccharomyces_gca_001298625.SEUB3.0,-0.000112882,Saccharomyces eubayanus,1080349,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces_eubayanus_gca_001298625.SEUB3.0.json
Caecum,1,Saccharomyces_gca_001634645.GLBRCY22,-0.0000835,Saccharomyces cerevisiae,4932,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces_cerevisiae_gca_001634645.GLBRCY22.json
Caecum,1,Saccharomyces_vin13_gca_000190215.ScVIN13_v01,-0.0000998,Saccharomyces cerevisiae,4932,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces_cerevisiae_vin13_gca_000190215.ScVIN13_v01.json
