organism,seedid,kingdom,phylum,class,order,family,genus,oxygenstat,metabolism,gram,mtype,genes,reactions,metabolites,draftcreator,draftcreated,phenotype,imgid,ncbiid,platform,species,file,taxa_id,id,summary_rank,kbaseid
,,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Edwardsiella,Facultative anaerobe,"Fermentative or respiratory, comparatively few carbohydrates used",Negative,Opportunistic pathogen,,,,,,,,,ModelSEED,tarda,Edwardsiella.json,636,Edwardsiella,genus,
,,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella,Nanaerobe,Asaccharolytic,Positive,Commensal,,,,,,,,,ModelSEED,lenta,Eggerthella.json,,Eggerthella,genus,kb|g.1738
Eggerthia catenaformis OT 569 = DSM 20559,Eggerthia catenaformis OT 569 = DSM 20559 (999415.3),Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Eggerthia,Obligate anaerobe,"Saccharolytic, fermentative",Positive,,558,1151,891,Laura Kutt,04/18/16,,2537561938,999415,ModelSEED,catenaformis,Eggerthia.json,31973,Eggerthia,genus,kb|g.32469
Eikenella corrodens ATCC 23834,Eikenella corrodens ATCC 23834 (546274.4),Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Eikenella,Facultative anaerobe,Non-fermentative,Negative,,587,1078,896,Laura Kutt,04/18/16,,,546274,ModelSEED,corrodens,Eikenella.json,539,Eikenella,genus,kb|g.2194
,,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Facultative anaerobe,,Negative,,,,,,,,,,,,Enterobacter.json,,Enterobacter,genus,
,,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Facultative anaerobe,"Saccharolytic, fermentative",Positive,,,,,,,,,,,,Enterococcus.json,,Enterococcus,genus,
,,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,Obligate anaerobe,"Saccharolytic, fermentative",,,,,,,,,,,,,Erysipelatoclostridium.json,,Erysipelatoclostridium,genus,
,,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Facultative anaerobe,,Negative,,,,,,,,,,Kbase,,Escherichia.json,,Escherichia,genus,
,,Bacteria,Firmicutes,Clostridia,Clostridiales,,Eubacterium,Obligate anaerobe,,,Commensal,,,,,,,,,Kbase,,Eubacterium.json,,Eubacterium,genus,
Exiguobacterium aurantiacum DSM 6208,,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillales Incertae Sedis XII,Exiguobacterium,Facultative anaerobe,"Saccharolytic, non-fermentative",Positive,,766,1353,1044,Laura Kutt,04/17/16,,2562617001,1397694,Kbase,aurantiacum,Exiguobacterium.json,33987,Exiguobacterium,genus,kb|g.241173
,,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,,"Saccharolytic, fermentative, acetate converted to butyrate",Structurally positive but stains negative,Commensal,,,,,,,,,Kbase,,Faecalibacterium.json,,Faecalibacterium,genus,
Eubacterium cylindroides T2-87,Eubacterium cylindroides T2-87 (717960.3),Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalitalea,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,463,994,778,chenry,09/10/14,,650377935,717960,Kbase,cylindroides,Faecalitalea.json,39483,Faecalitalea,genus,kb|g.3100
Filifactor alocis ATCC 35896,Filifactor alocis ATCC 35896 (546269.3),Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Filifactor,Obligate anaerobe,,Negative,,439,1015,814,Laura Kutt,04/18/16,,2511231077,546269,Kbase,alocis,Filifactor.json,143361,Filifactor,genus,kb|g.26890
Finegoldia magna ATCC 29328,Finegoldia magna ATCC 29328 (334413.6),Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Finegoldia,Obligate anaerobe,"Asaccharolytic, peptone and amino acid converted to acetate",Positive,,453,900,730,Laura Kutt,04/18/16,,641522627,334413,Kbase,magna,Finegoldia.json,1260,Finegoldia,genus,kb|g.927
Flavonifractor plautii ATCC 29863,,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flavonifractor,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,,744,1207,970,Laura Kutt,04/18/16,,2513237287,411475,Kbase,plautii,Flavonifractor.json,292800,Flavonifractor,genus,kb|g.26645
